test_key,short,q,theta,n_min_tail,n_max
mannwhitney,Mann-Whitney,1,0.2477272727272727,1216,10000000
mannwhitney,Mann-Whitney,1,0.2636363636363636,1035,10000000
mannwhitney,Mann-Whitney,1,0.2795454545454545,882,10000000
mannwhitney,Mann-Whitney,1,0.2954545454545454,882,10000000
mannwhitney,Mann-Whitney,1,0.3113636363636363,639,10000000
mannwhitney,Mann-Whitney,1,0.3272727272727272,639,10000000
mannwhitney,Mann-Whitney,1,0.3431818181818181,639,10000000
mannwhitney,Mann-Whitney,1,0.359090909090909,544,10000000
mannwhitney,Mann-Whitney,1,0.375,544,10000000
mannwhitney,Mann-Whitney,1,0.3909090909090909,394,10000000
mannwhitney,Mann-Whitney,1,0.4068181818181818,394,10000000
mannwhitney,Mann-Whitney,1,0.4227272727272727,463,10000000
mannwhitney,Mann-Whitney,1,0.4386363636363636,463,10000000
mannwhitney,Mann-Whitney,1,0.4545454545454545,336,10000000
mannwhitney,Mann-Whitney,1,0.4704545454545454,207,10000000
mannwhitney,Mann-Whitney,1,0.4863636363636363,207,10000000
mannwhitney,Mann-Whitney,1,0.5022727272727272,176,10000000
mannwhitney,Mann-Whitney,1,0.5181818181818181,336,10000000
mannwhitney,Mann-Whitney,1,0.5340909090909091,336,10000000
mannwhitney,Mann-Whitney,1,0.5499999999999999,336,10000000
mannwhitney,Mann-Whitney,1,0.5659090909090909,286,10000000
mannwhitney,Mann-Whitney,1,0.5818181818181818,286,10000000
mannwhitney,Mann-Whitney,1,0.5977272727272727,243,10000000
mannwhitney,Mann-Whitney,1,0.6136363636363636,286,10000000
mannwhitney,Mann-Whitney,1,0.6295454545454545,286,10000000
mannwhitney,Mann-Whitney,1,0.6454545454545454,286,10000000
mannwhitney,Mann-Whitney,1,0.6613636363636363,286,10000000
mannwhitney,Mann-Whitney,1,0.6772727272727272,286,10000000
mannwhitney,Mann-Whitney,1,0.6931818181818181,286,10000000
mannwhitney,Mann-Whitney,1,0.709090909090909,286,10000000
mannwhitney,Mann-Whitney,1,0.725,286,10000000
mannwhitney,Mann-Whitney,1,0.7409090909090909,286,10000000
mannwhitney,Mann-Whitney,1,0.7568181818181817,286,10000000
mannwhitney,Mann-Whitney,1,0.7727272727272727,286,10000000
mannwhitney,Mann-Whitney,1,0.7886363636363636,286,10000000
mannwhitney,Mann-Whitney,1,0.8045454545454545,286,10000000
mannwhitney,Mann-Whitney,1,0.8204545454545454,286,10000000
mannwhitney,Mann-Whitney,1,0.8363636363636363,286,10000000
mannwhitney,Mann-Whitney,1,0.8522727272727272,286,10000000
mannwhitney,Mann-Whitney,1,0.8681818181818182,286,10000000
mannwhitney,Mann-Whitney,1,0.884090909090909,286,10000000
mannwhitney,Mann-Whitney,1,0.9,286,10000000
anova,ANOVA,3,0.0025137201226837,7247368,10000000
anova,ANOVA,3,0.003165163523954,4471474,10000000
anova,ANOVA,3,0.0039854318080063,2758806,10000000
anova,ANOVA,3,0.005018276804993,1702125,10000000
anova,ANOVA,3,0.0063187888551852,1050176,10000000
anova,ANOVA,3,0.007956335241748,647936,10000000
anova,ANOVA,3,0.0100182601333695,399763,10000000
anova,ANOVA,3,0.0126145433859082,246646,10000000
anova,ANOVA,3,0.0158836666962689,152175,10000000
anova,ANOVA,3,0.02,93889,10000000
anova,ANOVA,3,0.025,57927,10000000
anova,ANOVA,3,0.0409090909090909,25902,10000000
anova,ANOVA,3,0.0568181818181818,25902,10000000
anova,ANOVA,3,0.0727272727272727,25902,10000000
anova,ANOVA,3,0.0886363636363636,25902,10000000
anova,ANOVA,3,0.1045454545454545,25902,10000000
anova,ANOVA,3,0.1204545454545454,25902,10000000
anova,ANOVA,3,0.1363636363636363,25902,10000000
anova,ANOVA,3,0.1522727272727272,25902,10000000
anova,ANOVA,3,0.1681818181818181,25902,10000000
anova,ANOVA,3,0.184090909090909,25902,10000000
anova,ANOVA,3,0.1999999999999999,25902,10000000
anova,ANOVA,3,0.2159090909090908,25902,10000000
anova,ANOVA,3,0.2318181818181817,25902,10000000
anova,ANOVA,3,0.2477272727272727,25902,10000000
anova,ANOVA,3,0.2636363636363636,25902,10000000
anova,ANOVA,3,0.2795454545454545,25902,10000000
anova,ANOVA,3,0.2954545454545454,25902,10000000
anova,ANOVA,3,0.3113636363636363,25902,10000000
anova,ANOVA,3,0.3272727272727272,25902,10000000
anova,ANOVA,3,0.3431818181818181,25902,10000000
anova,ANOVA,3,0.359090909090909,25902,10000000
anova,ANOVA,3,0.375,25902,10000000
anova,ANOVA,3,0.3909090909090909,25902,10000000
anova,ANOVA,3,0.4068181818181818,25902,10000000
anova,ANOVA,3,0.4227272727272727,25902,10000000
anova,ANOVA,3,0.4386363636363636,25902,10000000
anova,ANOVA,3,0.4545454545454545,25902,10000000
anova,ANOVA,3,0.4704545454545454,25902,10000000
anova,ANOVA,3,0.4863636363636363,25902,10000000
anova,ANOVA,3,0.5022727272727272,25902,10000000
anova,ANOVA,3,0.5181818181818181,25902,10000000
anova,ANOVA,3,0.5340909090909091,25902,10000000
anova,ANOVA,3,0.5499999999999999,25902,10000000
anova,ANOVA,3,0.5659090909090909,25902,10000000
anova,ANOVA,3,0.5818181818181818,25902,10000000
anova,ANOVA,3,0.5977272727272727,25902,10000000
anova,ANOVA,3,0.6136363636363636,25902,10000000
anova,ANOVA,3,0.6295454545454545,25902,10000000
anova,ANOVA,3,0.6454545454545454,25902,10000000
anova,ANOVA,3,0.6613636363636363,25902,10000000
anova,ANOVA,3,0.6772727272727272,25902,10000000
anova,ANOVA,3,0.6931818181818181,25902,10000000
anova,ANOVA,3,0.709090909090909,25902,10000000
anova,ANOVA,3,0.725,25902,10000000
anova,ANOVA,3,0.7409090909090909,25902,10000000
anova,ANOVA,3,0.7568181818181817,25902,10000000
anova,ANOVA,3,0.7727272727272727,25902,10000000
anova,ANOVA,3,0.7886363636363636,25902,10000000
anova,ANOVA,3,0.8045454545454545,25902,10000000
anova,ANOVA,3,0.8204545454545454,25902,10000000
