"test_key","test","q","n","theta","null_valid_reps","alt_valid_reps","alpha_p","power_p","alpha_ejab","power_ejab","alpha_bic","power_bic","alpha_tsbf","power_tsbf","risk_p","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,149,0.608333333333333,2000,400,0.0055,1,0.035,1,5e-04,1,0.009,1,0.00275000000000003,0.0175,0.000249999999999972,0.00449999999999995,-0.0147499999999999,-0.01725,-0.013
"anova","One-way ANOVA",3,149,0.65,2000,400,0.0055,1,0.035,1,5e-04,1,0.0075,1,0.00275000000000003,0.0175,0.000249999999999972,0.00375000000000003,-0.0147499999999999,-0.01725,-0.0137499999999999
"anova","One-way ANOVA",3,149,0.691666666666667,2000,400,0.0055,1,0.035,1,5e-04,1,0.0065,1,0.00275000000000003,0.0175,0.000249999999999972,0.00324999999999998,-0.0147499999999999,-0.01725,-0.01425
"anova","One-way ANOVA",3,149,0.733333333333333,2000,400,0.0055,1,0.035,1,5e-04,1,0.0045,1,0.00275000000000003,0.0175,0.000249999999999972,0.00224999999999997,-0.0147499999999999,-0.01725,-0.01525
"anova","One-way ANOVA",3,149,0.775,2000,400,0.0055,1,0.035,1,5e-04,1,0.004,1,0.00275000000000003,0.0175,0.000249999999999972,0.002,-0.0147499999999999,-0.01725,-0.0155
"anova","One-way ANOVA",3,149,0.816666666666667,2000,400,0.0055,1,0.035,1,5e-04,1,0.0035,1,0.00275000000000003,0.0175,0.000249999999999972,0.00175000000000003,-0.0147499999999999,-0.01725,-0.0157499999999999
"anova","One-way ANOVA",3,149,0.858333333333333,2000,400,0.0055,1,0.035,1,5e-04,1,0.003,1,0.00275000000000003,0.0175,0.000249999999999972,0.00149999999999995,-0.0147499999999999,-0.01725,-0.016
"anova","One-way ANOVA",3,149,0.9,2000,400,0.0055,1,0.035,1,5e-04,1,0.0025,1,0.00275000000000003,0.0175,0.000249999999999972,0.00124999999999997,-0.0147499999999999,-0.01725,-0.01625
"anova","One-way ANOVA",3,182,0.002,2000,400,0.0055,0.0075,0.0285,0.03,5e-04,0,0,0,0.499,0.49925,0.50025,0.5,-0.000249999999999917,0.001,0.000750000000000028
"anova","One-way ANOVA",3,182,0.00258309933002977,2000,400,0.0055,0.0025,0.0285,0.0275,5e-04,0,0,0,0.5015,0.5005,0.50025,0.5,0.00100000000000011,-0.000249999999999972,-0.000499999999999945
"anova","One-way ANOVA",3,182,0.00333620107440012,2000,400,0.0055,0.005,0.0285,0.0175,5e-04,0,0,0,0.50025,0.5055,0.50025,0.5,-0.00524999999999987,-0.00524999999999998,-0.00549999999999995
"anova","One-way ANOVA",3,182,0.00430886938006377,2000,400,0.0055,0,0.0285,0.0325,5e-04,0,0,0,0.50275,0.498,0.50025,0.5,0.00475000000000003,0.00224999999999997,0.002
"anova","One-way ANOVA",3,182,0.00556511880441425,2000,400,0.0055,0.0075,0.0285,0.0375,5e-04,0.0025,0,0,0.499,0.4955,0.499,0.5,0.00350000000000006,0.0035,0.0045
"anova","One-way ANOVA",3,182,0.00718762732760925,2000,400,0.0055,0.005,0.0285,0.03,5e-04,0,0,0,0.50025,0.49925,0.50025,0.5,0.00100000000000011,0.001,0.000750000000000028
"anova","One-way ANOVA",3,182,0.00928317766722556,2000,400,0.0055,0.01,0.0285,0.03,5e-04,0.0025,0,0,0.49775,0.49925,0.499,0.5,-0.00149999999999995,-0.000249999999999972,0.000750000000000028
"anova","One-way ANOVA",3,182,0.0119896850063788,2000,400,0.0055,0.0025,0.0285,0.0275,5e-04,0,0,0,0.5015,0.5005,0.50025,0.5,0.00100000000000011,-0.000249999999999972,-0.000499999999999945
"anova","One-way ANOVA",3,182,0.0154852736536225,2000,400,0.0055,0.0025,0.0285,0.0325,5e-04,0,0,0,0.5015,0.498,0.50025,0.5,0.00350000000000006,0.00224999999999997,0.002
"anova","One-way ANOVA",3,182,0.02,2000,400,0.0055,0.01,0.0285,0.0375,5e-04,0.005,0,0,0.49775,0.4955,0.49775,0.5,0.00225000000000003,0.00224999999999997,0.0045
"anova","One-way ANOVA",3,182,0.025,2000,400,0.0055,0.0025,0.0285,0.0325,5e-04,0,0,0,0.5015,0.498,0.50025,0.5,0.00350000000000006,0.00224999999999997,0.002
"anova","One-way ANOVA",3,182,0.0666666666666667,2000,400,0.0055,0.03,0.0285,0.0625,5e-04,0.0025,0.001,0.0125,0.48775,0.483,0.499,0.49425,0.00475000000000003,0.016,0.01125
