"rows","columns","table_label","table_plot_label","q","n","w","critical_tsbf_estimated_omega","alpha_p05","alpha_ejab","alpha_tsbf","alpha_tsbf_estimated_omega","power_p05","power_ejab","power_tsbf","power_tsbf_estimated_omega","beta_p05","beta_ejab","beta_tsbf","beta_tsbf_estimated_omega","risk_p05","risk_ejab","risk_tsbf","risk_tsbf_estimated_omega","delta_p05_minus_ejab","delta_tsbf_minus_ejab","delta_tsbf_estimated_omega_minus_ejab"
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.375,2.39304125201973,0.05,0.0606880790874328,0.0805248456636563,0.121876320119469,0.537473535292009,0.570758938571378,0.620387837156117,0.694085990679817,0.462526464707991,0.429241061428622,0.379612162843883,0.305914009320183,0.256263232353996,0.244964570258027,0.230068504253769,0.213895164719826,0.0112986620959684,-0.0148960660042578,-0.0310694055382013
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.394444444444444,2.39304125201973,0.05,0.0606880790874328,0.0740812269116492,0.121876320119469,0.579473040557584,0.61209016668277,0.645967605301185,0.730336900211811,0.420526959442416,0.38790983331723,0.354032394698815,0.269663099788189,0.235263479721208,0.224298956202331,0.214056810805232,0.195769709953829,0.0109645235188766,-0.0102421453970991,-0.0285292462485024
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.413888888888889,2.39304125201973,0.05,0.0606880790874328,0.0682531069229328,0.121876320119469,0.620589711150397,0.652193053031207,0.671366739820457,0.76431113657807,0.379410288849603,0.347806946968793,0.328633260179543,0.23568886342193,0.214705144424801,0.204247513028113,0.198443183551238,0.178782591770699,0.0104576313966887,-0.00580432947687459,-0.0254649212574135
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.433333333333333,2.39304125201973,0.05,0.0606880790874328,0.0629777325297536,0.121876320119469,0.66038733701091,0.690664107746871,0.696426004789405,0.795789223134171,0.33961266298909,0.309335892253129,0.303573995210595,0.204210776865829,0.194806331494545,0.185011985670281,0.183275863870174,0.163043548492649,0.00979434582426408,-0.00173612180010668,-0.0219684371776321
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.452777777777778,2.39304125201973,0.05,0.0606880790874328,0.0581980761174531,0.121876320119469,0.698473422686578,0.727152896930928,0.720988722687056,0.824623498623107,0.301526577313422,0.272847103069072,0.279011277312944,0.175376501376893,0.175763288656711,0.166767591078252,0.168604676715199,0.148626410748181,0.0089956975784587,0.00183708563694623,-0.0181411803300718
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.472222222222222,2.39304125201973,0.05,0.0606880790874328,0.0538626836680864,0.121876320119469,0.73451040575501,0.761370971691204,0.744903843984186,0.850736820174348,0.26548959424499,0.238629028308796,0.255096156015814,0.149263179825652,0.157744797122495,0.149658553698114,0.15447941984195,0.13556974997256,0.0080862434243808,0.00482086614383559,-0.014088803725554
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.491666666666667,2.39304125201973,0.05,0.0606880790874328,0.0499253671751679,0.121876320119469,0.768224024547782,0.79309768165911,0.768029141333375,0.874118457462454,0.231775975452218,0.206902318340889,0.231970858666625,0.125881542537546,0.140887987726109,0.133795198714161,0.140948112920897,0.123878931328507,0.00709278901194799,0.00715291420673547,-0.0099162673856541
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.511111111111111,2.39304125201973,0.05,0.0606880790874328,0.0463448148159085,0.121876320119469,0.799408501422253,0.822182716769364,0.790234298261697,0.894817619026579,0.200591498577747,0.177817283230636,0.209765701738303,0.105182380973421,0.125295749288874,0.119252681159034,0.128055258277106,0.113529350546445,0.0060430681298394,0.00880257711807175,-0.00572333061258917
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.530555555555556,2.39304125201973,0.05,0.0606880790874328,0.043084167000491,0.121876320119469,0.827928437364427,0.848545447737973,0.811403707335932,0.912935167670197,0.172071562635573,0.151454552262027,0.188596292664068,0.0870648323298028,0.111035781317787,0.10607131567473,0.115840229832279,0.104470576224636,0.00496446564305697,0.00976891415754977,-0.00160073945009404
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.55,2.39304125201973,0.05,0.0606880790874328,0.0401105886852161,0.121876320119469,0.853717536834013,0.872171340902479,0.83143883283519,0.928614144097258,0.146282463165987,0.127828659097521,0.16856116716481,0.0713858559027423,0.0981412315829936,0.0942583690924771,0.104335877925013,0.0966310880111054,0.0038828624905165,0.0100775088325362,0.00237271891862834
2,2,"2 x 2 (q=1)","2 %*% 2~(q == 1)",1,30,0.569444444444445,2.39304125201973,0.05,0.0606880790874328,0.0373948568135005,0.121876320119469,0.876774479774142,0.893105890934158,0.850260031867492,0.942029726795785,0.123225520225858,0.106894109065842,0.149739968132508,0.0579702732042152,0.0866127601129292,0.0837910940766374,0.0935674124730044,0.0899232966618419,0.00282166603629175,0.00977631839636695,0.00613220258520447
