"test_key","test","q","n","theta","risk_p","risk_p05","risk_ejab","risk_bic","risk_tsbf","delta_p_minus_ejab","delta_p05_minus_ejab","delta_bic_minus_ejab","delta_tsbf_minus_ejab"
"anova","One-way ANOVA",3,30,1.85,0.00250001574882147,0.025000000004612,0.0853417034920305,NA,NA,-0.082841687743209,-0.0603417034874185,NA,NA
"anova","One-way ANOVA",3,30,1.875,0.00250000821372687,0.0250000000019553,0.0853417034920251,NA,NA,-0.0828416952782982,-0.0603417034900698,NA,NA
"anova","One-way ANOVA",3,30,1.9,0.00250000422802532,0.0250000000008155,0.0853417034920231,NA,NA,-0.0828416992639978,-0.0603417034912076,NA,NA
"anova","One-way ANOVA",3,30,1.925,0.00250000214771612,0.0250000000003345,0.0853417034920224,NA,NA,-0.0828417013443062,-0.0603417034916879,NA,NA
"anova","One-way ANOVA",3,30,1.95,0.00250000107641168,0.0250000000001349,0.0853417034920221,NA,NA,-0.0828417024156104,-0.0603417034918872,NA,NA
"anova","One-way ANOVA",3,30,1.975,0.00250000053216198,0.0250000000000535,0.085341703492022,NA,NA,-0.08284170295986,-0.0603417034919685,NA,NA
"anova","One-way ANOVA",3,30,2,0.00250000025945063,0.0250000000000208,0.085341703492022,NA,NA,-0.0828417032325713,-0.0603417034920011,NA,NA
"anova","One-way ANOVA",3,36,0.001,0.499999851734371,0.499999066344855,0.499998025946231,NA,NA,1.82578814078571e-06,1.04039862447447e-06,NA,NA
"anova","One-way ANOVA",3,36,0.00125915510457657,0.499999764856726,0.499998519660477,0.499996870163819,NA,NA,2.89469290748468e-06,1.64949665820702e-06,NA,NA
"anova","One-way ANOVA",3,36,0.00158547157738124,0.499999627005199,0.499997652823428,0.499995037658188,NA,NA,4.58934701125235e-06,2.6151652406381e-06,NA,NA
"anova","One-way ANOVA",3,36,0.00199635462982066,0.499999409380758,0.499996279154476,0.499992132665398,NA,NA,7.27671535977192e-06,4.14648907842707e-06,NA,NA
"anova","One-way ANOVA",3,36,0.00251372012268376,0.499999063564632,0.499994100643601,0.499987526558195,NA,NA,1.15370064366904e-05,6.57408540521986e-06,NA,NA
"anova","One-way ANOVA",3,36,0.0031651635239541,0.499998515244532,0.499990646583263,0.499980223696433,NA,NA,1.82915480984591e-05,1.04228868292311e-05,NA,NA
"anova","One-way ANOVA",3,36,0.00398543180800638,0.499997645801628,0.499985170034174,0.499968645192214,NA,NA,2.90006094135764e-05,1.6524841959964e-05,NA,NA
"anova","One-way ANOVA",3,36,0.00501827680499307,0.499996267079721,0.499976486530918,0.499950287741163,NA,NA,4.59793385572116e-05,2.61987897546279e-05,NA,NA
"anova","One-way ANOVA",3,36,0.00631878885518524,0.499994080535187,0.499962717596887,0.499921182368341,NA,NA,7.28981668460804e-05,4.15352285453308e-05,NA,NA
"anova","One-way ANOVA",3,36,0.00795633524174805,0.49999061225405,0.499940883596948,0.499875036231613,NA,NA,0.000115576022436559,6.58473653344371e-05,NA,NA
"anova","One-way ANOVA",3,36,0.0100182601333695,0.499985109356963,0.499906256953783,0.499801871836204,NA,NA,0.000183237520758439,0.000104385117578876,NA,NA
"anova","One-way ANOVA",3,36,0.0126145433859082,0.499976375948987,0.499851334472966,0.499685869181785,NA,NA,0.000290506767202214,0.000165465291180944,NA,NA
"anova","One-way ANOVA",3,36,0.015883666696269,0.499962504402586,0.499764197068925,0.499501945273393,NA,NA,0.000460559129192462,0.000262251795531854,NA,NA
"anova","One-way ANOVA",3,36,0.02,0.499940450340624,0.499625895110077,0.499210323823506,NA,NA,0.00073012651711829,0.000415571286570937,NA,NA
"anova","One-way ANOVA",3,36,0.025,0.499906711914245,0.499414876245106,0.498766073920925,NA,NA,0.00114063799331926,0.00064880232418052,NA,NA
"anova","One-way ANOVA",3,36,0.0444444444444444,0.49970057027961,0.498139692625575,0.496099216352888,NA,NA,0.00360135392672262,0.00204047627268789,NA,NA
"anova","One-way ANOVA",3,36,0.0638888888888889,0.499366361735903,0.496120753551253,0.491937069048488,NA,NA,0.00742929268741477,0.00418368450276468,NA,NA
"anova","One-way ANOVA",3,36,0.0833333333333333,0.498887261396364,0.493320511258701,0.486279548175511,NA,NA,0.0126077132208532,0.00704096308318991,NA,NA
"anova","One-way ANOVA",3,36,0.102777777777778,0.498239982112312,0.48969040476133,0.4791305564403,NA,NA,0.0191094256720118,0.0105598483210305,NA,NA
"anova","One-way ANOVA",3,36,0.122222222222222,0.497394450939886,0.4851731046507,0.470501274446995,NA,NA,0.0268931764928917,0.014671830203705,NA,NA
"anova","One-way ANOVA",3,36,0.141666666666667,0.496313475256448,0.479705337450647,0.460413833794436,NA,NA,0.0358996414620124,0.0192915036562113,NA,NA
"anova","One-way ANOVA",3,36,0.161111111111111,0.494952462257089,0.473221242777561,0.448905082301643,NA,NA,0.0460473799554459,0.0243161604759184,NA,NA
"anova","One-way ANOVA",3,36,0.180555555555556,0.493259248274594,0.465656198687946,0.436030110685627,NA,NA,0.057229137588967,0.0296260880023188,NA,NA
"anova","One-way ANOVA",3,36,0.2,0.491174108341297,0.456951014351068,0.421865233435088,NA,NA,0.0693088749062087,0.0350857809159795,NA,NA
"anova","One-way ANOVA",3,36,0.219444444444444,0.488630028121163,0.447056341820042,0.406510105093018,NA,NA,0.0821199230281445,0.0405462367270237,NA,NA
"anova","One-way ANOVA",3,36,0.238888888888889,0.485553297590834,0.435937130548783,0.390088736578964,NA,NA,0.0954645610118693,0.0458483939698189,NA,NA
"anova","One-way ANOVA",3,36,0.258333333333333,0.481864507768848,0.423576901207993,0.372749211917567,NA,NA,0.10911529585128,0.0508276892904257,NA,NA
"anova","One-way ANOVA",3,36,0.277777777777778,0.477479993437143,0.40998160387979,0.35466201798424,NA,NA,0.122817975452903,0.0553195858955502,NA,NA
"anova","One-way ANOVA",3,36,0.297222222222222,0.472313756276764,0.395182802853319,0.336016982189492,NA,NA,0.136296774087272,0.0591658206638276,NA,NA
"anova","One-way ANOVA",3,36,0.316666666666667,0.466279881185369,0.37923995130122,0.317018922431335,NA,NA,0.149260958754034,0.062221028869885,NA,NA
